date,product,stock_available,reorder_level,warehouse
2025-08-18 22:51:23.684752,Widget C,20140,4910,Warehouse 3
2025-08-19 22:51:23.684752,Widget C,3527,4776,Warehouse 3
2025-08-20 22:51:23.684752,Widget B,39432,4634,Warehouse 2
2025-08-21 22:51:23.684752,Widget A,36082,4160,Warehouse 3
2025-08-22 22:51:23.684752,Gadget X,40350,4699,Warehouse 1
2025-08-23 22:51:23.684752,Widget B,38013,3807,Warehouse 3
2025-08-24 22:51:23.684752,Widget C,29842,2526,Warehouse 3
2025-08-25 22:51:23.684752,Widget A,33594,1944,Warehouse 1
2025-08-26 22:51:23.684752,Widget B,36296,4142,Warehouse 1
2025-08-27 22:51:23.684752,Widget C,37188,1524,Warehouse 1
2025-08-28 22:51:23.684752,Widget B,4476,634,Warehouse 3
2025-08-29 22:51:23.684752,Gadget Y,3394,4413,Warehouse 3
2025-08-30 22:51:23.684752,Gadget Y,2212,954,Warehouse 3
2025-08-31 22:51:23.684752,Gadget Y,47500,1466,Warehouse 1
2025-09-01 22:51:23.684752,Gadget X,35594,2458,Warehouse 3
2025-09-02 22:51:23.684752,Widget C,29604,1402,Warehouse 1
2025-09-03 22:51:23.684752,Gadget Y,42503,787,Warehouse 3
2025-09-04 22:51:23.684752,Widget A,39327,3261,Warehouse 2
2025-09-05 22:51:23.684752,Widget C,25782,948,Warehouse 2
2025-09-06 22:51:23.684752,Gadget X,13453,3284,Warehouse 1
2025-09-07 22:51:23.684752,Widget B,39903,2889,Warehouse 2
2025-09-08 22:51:23.684752,Gadget Y,32548,1715,Warehouse 3
2025-09-09 22:51:23.684752,Widget A,2704,4830,Warehouse 3
2025-09-10 22:51:23.684752,Widget C,24557,4514,Warehouse 1
2025-09-11 22:51:23.684752,Gadget X,45303,1925,Warehouse 3
2025-09-12 22:51:23.684752,Gadget Y,18859,3729,Warehouse 2
2025-09-13 22:51:23.684752,Gadget X,15953,1027,Warehouse 1
2025-09-14 22:51:23.684752,Widget C,20762,2924,Warehouse 2
2025-09-15 22:51:23.684752,Widget C,20078,2377,Warehouse 2
2025-09-16 22:51:23.684752,Widget A,15009,4559,Warehouse 3
2025-09-17 22:51:23.684752,Widget C,9405,4318,Warehouse 3
2025-09-18 22:51:23.684752,Gadget X,7311,4231,Warehouse 3
2025-09-19 22:51:23.684752,Widget B,13824,4788,Warehouse 2
2025-09-20 22:51:23.684752,Widget B,38558,2072,Warehouse 3
2025-09-21 22:51:23.684752,Gadget Y,2373,4792,Warehouse 3
2025-09-22 22:51:23.684752,Gadget X,39947,2120,Warehouse 1
2025-09-23 22:51:23.684752,Widget A,33024,1378,Warehouse 1
2025-09-24 22:51:23.684752,Widget A,34673,2819,Warehouse 3
2025-09-25 22:51:23.684752,Gadget Y,49148,2288,Warehouse 3
2025-09-26 22:51:23.684752,Gadget X,19165,1761,Warehouse 2
2025-09-27 22:51:23.684752,Gadget Y,9655,1974,Warehouse 3
2025-09-28 22:51:23.684752,Widget C,32971,3731,Warehouse 3
2025-09-29 22:51:23.684752,Gadget X,30220,2275,Warehouse 3
