date,product,category,region,quantity,unit_price,revenue
2025-08-18 22:51:23.634527,Widget B,Accessories,East,173,1758.0293836209473,367371.94121544226
2025-08-19 22:51:23.634527,Widget A,Electronics,East,80,1047.4025418654792,1347995.1512122538
2025-08-20 22:51:23.634527,Gadget X,Hardware,North,247,2704.090629001938,67962.22051673559
2025-08-21 22:51:23.634527,Gadget X,Electronics,South,444,4484.22686480002,1580272.8434755036
2025-08-22 22:51:23.634527,Gadget Y,Accessories,Central,70,4259.13266183425,2203557.1790621514
2025-08-23 22:51:23.634527,Gadget Y,Accessories,East,211,989.6498872500628,1566294.950453795
2025-08-24 22:51:23.634527,Widget C,Accessories,West,272,2237.25107171657,2177774.318361223
2025-08-25 22:51:23.634527,Widget B,Accessories,South,247,162.94497739423014,1491992.5460377433
2025-08-26 22:51:23.634527,Gadget Y,Electronics,East,51,3985.726777463744,391971.4056903645
2025-08-27 22:51:23.634527,Widget A,Accessories,South,209,1729.14765373224,237941.44286523238
2025-08-28 22:51:23.634527,Widget B,Hardware,West,499,376.61129028266953,2260750.028148839
2025-08-29 22:51:23.634527,Widget A,Accessories,Central,157,2718.1176805763785,596620.7040030268
2025-08-30 22:51:23.634527,Gadget X,Electronics,Central,130,283.38896596471557,1205689.8205770478
2025-08-31 22:51:23.634527,Widget B,Electronics,Central,360,4267.233075376804,1319711.7493097219
2025-09-01 22:51:23.634527,Gadget X,Accessories,North,258,392.5369361376335,2178909.0246012285
2025-09-02 22:51:23.634527,Widget C,Accessories,North,364,1589.806582938155,2301992.7547622444
2025-09-03 22:51:23.634527,Widget B,Hardware,North,414,1637.6251638649223,1209895.431405897
2025-09-04 22:51:23.634527,Widget B,Electronics,East,326,1872.7356507390468,883165.0878343359
2025-09-05 22:51:23.634527,Widget A,Hardware,West,102,2497.0099321745433,1377188.9873324984
2025-09-06 22:51:23.634527,Widget A,Accessories,East,52,693.3318239089986,1981297.0092847375
2025-09-07 22:51:23.634527,Widget B,Electronics,South,438,149.67569472494088,615718.2772334407
2025-09-08 22:51:23.634527,Gadget Y,Hardware,Central,123,2343.533020175439,1576976.9924147795
2025-09-09 22:51:23.634527,Widget A,Electronics,South,317,3991.0567215665774,2336890.8937331247
2025-09-10 22:51:23.634527,Gadget Y,Electronics,South,298,3164.1385224393107,726891.9823867094
2025-09-11 22:51:23.634527,Gadget Y,Hardware,South,133,2123.405974749399,2428685.9448183854
2025-09-12 22:51:23.634527,Widget C,Accessories,East,93,2440.4201308482156,1571512.5951312906
2025-09-13 22:51:23.634527,Widget C,Electronics,East,146,4058.101044484542,577437.3613367458
2025-09-14 22:51:23.634527,Gadget Y,Hardware,West,313,1769.4810456419661,1236996.2641262866
2025-09-15 22:51:23.634527,Widget A,Hardware,South,243,4556.27405819901,2020242.7605583472
2025-09-16 22:51:23.634527,Widget B,Hardware,East,480,1742.2498356649626,1009781.151256627
2025-09-17 22:51:23.634527,Gadget Y,Hardware,North,189,4413.999574637418,585128.0813517801
2025-09-18 22:51:23.634527,Widget C,Accessories,North,462,1967.1589360455666,443241.189471964
2025-09-19 22:51:23.634527,Widget A,Hardware,South,379,1960.4760756702085,1776548.4495929496
2025-09-20 22:51:23.634527,Gadget X,Electronics,East,432,3509.0400439799805,216851.82078850787
2025-09-21 22:51:23.634527,Widget A,Hardware,North,307,3734.006539498111,572816.685745588
2025-09-22 22:51:23.634527,Gadget Y,Hardware,Central,169,2605.0707755625917,1663461.8080146925
2025-09-23 22:51:23.634527,Gadget X,Electronics,North,249,4895.714372459556,635537.7747299639
2025-09-24 22:51:23.634527,Widget A,Electronics,South,320,2063.8516689769112,2052578.9548872844
2025-09-25 22:51:23.634527,Widget A,Accessories,North,174,305.785904458707,1846767.3444151802
2025-09-26 22:51:23.634527,Widget A,Electronics,North,362,2431.731518934714,1885044.2146404837
2025-09-27 22:51:23.634527,Widget A,Hardware,West,144,3535.8183964934037,1692088.524759563
2025-09-28 22:51:23.634527,Widget B,Accessories,Central,336,2606.2254410158143,375147.98097450176
2025-09-29 22:51:23.634527,Widget B,Electronics,South,408,1509.3337784311298,1437126.5950621737
2025-09-30 22:51:23.634527,Gadget X,Electronics,South,489,355.6732542563175,1915453.209246421
2025-10-01 22:51:23.634527,Widget A,Electronics,East,362,3180.100090444801,1214149.9920902802
2025-10-02 22:51:23.634527,Widget A,Accessories,East,189,4169.450378230002,1121718.038058051
2025-10-03 22:51:23.634527,Widget A,Electronics,East,450,3153.192812348891,119726.59169559032
2025-10-04 22:51:23.634527,Gadget X,Electronics,East,128,342.4940355404621,1685878.3649052389
2025-10-05 22:51:23.634527,Widget C,Hardware,North,140,2855.2741176189243,1821220.1637706286
2025-10-06 22:51:23.634527,Widget B,Electronics,North,59,862.1043341877823,2454496.913745124
2025-10-07 22:51:23.634527,Gadget X,Hardware,North,356,3007.2690951968702,2294848.3715568655
2025-10-08 22:51:23.634527,Widget A,Hardware,East,82,306.3540351083869,1412305.3692813755
2025-10-09 22:51:23.634527,Widget A,Accessories,East,428,4525.809777258048,468118.86114041496
2025-10-10 22:51:23.634527,Widget A,Accessories,South,209,1247.3371903002887,1452758.349009219
2025-10-11 22:51:23.634527,Widget C,Hardware,Central,461,4829.80063934921,966657.0427532519
2025-10-12 22:51:23.634527,Widget B,Accessories,East,185,1490.5647350168258,1818338.1008604611
2025-10-13 22:51:23.634527,Widget A,Accessories,South,481,175.3447195102948,1735668.0978387543
2025-10-14 22:51:23.634527,Widget B,Accessories,North,394,2649.475052277179,702377.3962123435
2025-10-15 22:51:23.634527,Gadget Y,Accessories,West,415,4259.996322293654,2244293.988372307
2025-10-16 22:51:23.634527,Gadget X,Electronics,West,417,824.95175690461,293094.84807634895
2025-10-17 22:51:23.634527,Gadget X,Hardware,Central,424,2749.1129966232097,2396822.6782580316
2025-10-18 22:51:23.634527,Gadget Y,Accessories,Central,254,1685.3829536909957,1381821.458570271
