date,product,region,quantity,revenue,production,inventory,employees,efficiency,defect_rate,orders
2024-01-01,Product A,North,120,150000,5000,3200,80,91,2.4,180
2024-01-02,Product B,South,140,175000,5400,3400,82,90,2.7,210
2024-01-03,Product C,East,200,230000,6200,3600,85,93,2.1,260
2024-01-04,Product A,West,160,185000,5800,3500,84,92,2.3,225
2024-01-05,Product B,North,180,210000,6000,3700,89,94,2.0,250
2024-01-06,Product C,South,220,260000,6500,3900,90,92,2.8,300
2024-01-07,Product A,East,170,195000,5900,3600,88,93,2.5,240
2024-01-08,Product B,West,190,215000,6100,3800,92,95,1.9,260
2024-01-09,Product C,North,210,240000,6400,4000,93,94,2.2,290
2024-01-10,Product A,South,150,170000,5700,3500,86,91,2.6,220
